product_key,product_id,product_name,category,subcategory,brand,unit_cost,list_price
1,PROD-00001,Database Product 0001,Software,Database,Nova,2259.63,4864.92
2,PROD-00002,Consulting Product 0002,Services,Consulting,Apex,4431.21,7485.49
3,PROD-00003,Analytics Product 0003,Software,Analytics,Apex,805.82,1521.01
4,PROD-00004,Server Product 0004,Technology,Server,Nova,741.95,1217.6
5,PROD-00005,Implementation Product 0005,Services,Implementation,Vertex,2633.29,3896.31
6,PROD-00006,Server Product 0006,Technology,Server,Nexus,1899.9,3517.36
7,PROD-00007,Printer Product 0007,Hardware,Printer,Nova,118.2,171.19
8,PROD-00008,Security Product 0008,Software,Security,Nova,4061.0,6407.59
9,PROD-00009,Accessories Product 0009,Hardware,Accessories,Nexus,2987.9,3650.71
10,PROD-00010,Training Product 0010,Services,Training,Nova,2135.34,2776.55
11,PROD-00011,Networking Product 0011,Technology,Networking,Orion,4714.9,5762.88
12,PROD-00012,Consulting Product 0012,Services,Consulting,Nexus,1459.8,2901.43
13,PROD-00013,Support Product 0013,Services,Support,Nexus,4649.36,10140.27
14,PROD-00014,Monitor Product 0014,Technology,Monitor,Vertex,2757.59,3713.77
15,PROD-00015,Storage Product 0015,Hardware,Storage,Apex,4938.85,6006.79
16,PROD-00016,Analytics Product 0016,Software,Analytics,Orion,1653.31,2777.23
17,PROD-00017,Networking Product 0017,Technology,Networking,Nova,2400.64,3195.06
18,PROD-00018,Server Product 0018,Technology,Server,Orion,1365.76,2327.34
19,PROD-00019,Laptop Product 0019,Technology,Laptop,Nexus,2147.09,4573.53
20,PROD-00020,Training Product 0020,Services,Training,Orion,1331.24,2269.15
21,PROD-00021,Training Product 0021,Services,Training,Vertex,2268.85,3356.73
22,PROD-00022,Device Product 0022,Hardware,Device,Nova,2677.08,5826.74
23,PROD-00023,Laptop Product 0023,Technology,Laptop,Vertex,1541.93,1898.23
24,PROD-00024,Productivity Product 0024,Software,Productivity,Nova,3416.17,4718.83
25,PROD-00025,Support Product 0025,Services,Support,Vertex,1354.2,2106.08
26,PROD-00026,Security Product 0026,Software,Security,Nexus,2359.22,3683.45
27,PROD-00027,Networking Product 0027,Technology,Networking,Apex,2881.16,4073.47
28,PROD-00028,Storage Product 0028,Hardware,Storage,Nova,242.95,411.7
